Year,Geography,Selection Filter,Selection Value,% Total Population,Sub-Population,Total Population
2021,Adams,All,All,100,20900,20900
2021,Asotin,All,All,100,22500,22500
2021,Benton,All,All,100,209400,209400
2021,Chelan,All,All,100,79999.99,
2021,Clallam,All,All,100,77750,77750
2021,Clark,All,All,100,513100.01,
2021,Columbia,All,All,100,3950,3950
2021,Cowlitz,All,All,100,111500,111500
2021,Douglas,All,All,100,43550,43550
2021,Ferry,All,All,100,7250,7250
2021,Franklin,All,All,100,98350,98350
2021,Garfield,All,All,100,2300,2300
2021,Grant,All,All,100,100800,100800
2021,Grays Harbor,All,All,100,76050,76050
2021,Island,All,All,100,87100,87100
2021,Jefferson,All,All,100,33100,33100
2021,King,All,All,100,2287050.05,
2021,Kitsap,All,All,100,277700,277700
2021,Kittitas,All,All,100,45225,45225
2021,Klickitat,All,All,100,23000,23000
2021,Lewis,All,All,100,82700,82700
2021,Lincoln,All,All,100,10900,10900
2021,Mason,All,All,100,65750,65750
2021,Okanogan,All,All,100,42350,42350
2021,Pacific,All,All,100,23425,23425
2021,Pend Oreille,All,All,100,13475,13475
2021,Pierce,All,All,100,928199.99,
2021,San Juan,All,All,100,17850,17850
2021,Skagit,All,All,100,130000,130000
2021,Skamania,All,All,100,11750,11750
2021,Snohomish,All,All,100,837800.02,
2021,Spokane,All,All,100,542100,542100
2021,Stevens,All,All,100,46725,46725
2021,Thurston,All,All,100,297799.99,
2021,Wahkiakum,All,All,100,4475,4475
2021,Walla Walla,All,All,100,62100,62100
2021,Washington State,All,All,100,7766975.01,
2021,Whatcom,All,All,100,226300,226300
2021,Whitman,All,All,100,44600,44600
2021,Yakima,All,All,100,258099.99,
